bcdID,value,hexValue,outputA,outputB,outputC,pattern,widths
1,0,00,@char(32),@char(32),00,11011001100,212222
2,1,01,!,!,01,11001101100,222122
3,2,02,"""","""",02,11001100110,222221
4,3,03,#,#,03,10010011000,121223
5,4,04,$,$,04,10010001100,121322
6,5,05,%,%,05,10001001100,131222
7,6,06,&,&,06,10011001000,122213
8,7,07,',',07,10011000100,122312
9,8,08,(,(,08,10001100100,132212
10,9,09,),),09,11001001000,221213
11,10,0a,*,*,10,11001000100,221312
12,11,0b,+,+,11,11000100100,231212
13,12,0c,",",",",12,10110011100,112232
14,13,0d,-,-,13,10011011100,122132
15,14,0e,.,.,14,10011001110,122231
16,15,0f,/,/,15,10111001100,113222
17,16,10,0,0,16,10011101100,123122
18,17,11,1,1,17,10011100110,123221
19,18,12,2,2,18,11001110010,223211
20,19,13,3,3,19,11001011100,221132
21,20,14,4,4,20,11001001110,221231
22,21,15,5,5,21,11011100100,213212
23,22,16,6,6,22,11001110100,223112
24,23,17,7,7,23,11101101110,312131
25,24,18,8,8,24,11101001100,311222
26,25,19,9,9,25,11100101100,321122
27,26,1a,:,:,26,11100100110,321221
28,27,1b,;,;,27,11101100100,312212
29,28,1c,<,<,28,11100110100,322112
30,29,1d,=,=,29,11100110010,322211
31,30,1e,>,>,30,11011011000,212123
32,31,1f,?,?,31,11011000110,212321
33,32,20,@,@,32,11000110110,232121
34,33,21,A,A,33,10100011000,111323
35,34,22,B,B,34,10001011000,131123
36,35,23,C,C,35,10001000110,131321
37,36,24,D,D,36,10110001000,112313
38,37,25,E,E,37,10001101000,132113
39,38,26,F,F,38,10001100010,132311
40,39,27,G,G,39,11010001000,211313
41,40,28,H,H,40,11000101000,231113
42,41,29,I,I,41,11000100010,231311
43,42,2a,J,J,42,10110111000,112133
44,43,2b,K,K,43,10110001110,112331
45,44,2c,L,L,44,10001101110,132131
46,45,2d,M,M,45,10111011000,113123
47,46,2e,N,N,46,10111000110,113321
48,47,2f,O,O,47,10001110110,133121
49,48,30,P,P,48,11101110110,313121
50,49,31,Q,Q,49,11010001110,211331
51,50,32,R,R,50,11000101110,231131
52,51,33,S,S,51,11011101000,213113
53,52,34,T,T,52,11011100010,213311
54,53,35,U,U,53,11011101110,213131
55,54,36,V,V,54,11101011000,311123
56,55,37,W,W,55,11101000110,311321
57,56,38,X,X,56,11100010110,331121
58,57,39,Y,Y,57,11101101000,312113
59,58,3a,Z,Z,58,11101100010,312311
60,59,3b,[,[,59,11100011010,332111
61,60,3c,\,\,60,11101111010,314111
62,61,3d,],],61,11001000010,221411
63,62,3e,^,^,62,11110001010,431111
64,63,3f,_,_,63,10100110000,111224
65,64,40,NUL,`,64,10100001100,111422
66,65,41,SOH,a,65,10010110000,121124
67,66,42,STX,b,66,10010000110,121421
68,67,43,ETX,c,67,10000101100,141122
69,68,44,EOT,d,68,10000100110,141221
70,69,45,ENQ,e,69,10110010000,112214
71,70,46,ACK,f,70,10110000100,112412
72,71,47,BEL,g,71,10011010000,122114
73,72,48,BS,h,72,10011000010,122411
74,73,49,HT,i,73,10000110100,142112
75,74,4a,LF,j,74,10000110010,142211
76,75,4b,VT,k,75,11000010010,241211
77,76,4c,FF,l,76,11001010000,221114
78,77,4d,CR,m,77,11110111010,413111
79,78,4e,SO,n,78,11000010100,241112
80,79,4f,SI,o,79,10001111010,134111
81,80,50,DLE,p,80,10100111100,111242
82,81,51,DC1,q,81,10010111100,121142
83,82,52,DC2,r,82,10010011110,121241
84,83,53,DC3,s,83,10111100100,114212
85,84,54,DC4,t,84,10011110100,124112
86,85,55,NAK,u,85,10011110010,124211
87,86,56,SYN,v,86,11110100100,411212
88,87,57,ETB,w,87,11110010100,421112
89,88,58,CAN,x,88,11110010010,421211
90,89,59,EM,y,89,11011011110,212141
91,90,5a,SUB,z,90,11011110110,214121
92,91,5b,ESC,{,91,11110110110,412121
93,92,5c,FS,|,92,10101111000,111143
94,93,5d,GS,},93,10100011110,111341
95,94,5e,RS,~,94,10001011110,131141
96,95,5f,US,DEL,95,10111101000,114113
97,96,60,FNC 3,FNC 3,96,10111100010,114311
98,97,61,FNC 2,FNC 2,97,11110101000,411113
99,98,62,Shift B,Shift A,98,11110100010,411311
100,99,63,Code C,Code C,99,10111011110,113141
101,100,64,Code B,FNC 4,Code B,10111101110,114131
102,101,65,FNC 4,Code A,Code A,11101011110,311141
103,102,66,FNC 1,FNC 1,FNC 1,11110101110,411131
104,103,67,Start Code A,Start Code A,Start Code A,11010000100,211412
105,104,68,Start Code B,Start Code B,Start Code B,11010010000,211214
106,105,69,Start Code C,Start Code C,Start Code C,11010011100,211232
107,106,6a,Stop,Stop,Stop,11000111010,233111
108,NULL,,Reverse Stop,Reverse Stop,Reverse Stop,11010111000,211133
109,NULL,,Stop Pattern,Stop Pattern,Stop Pattern,1100011101011,2331112
